TIME,WBE_1,WBE_2,WBE_3,FSP_X,FSP_Y,FSP_Z
0.139,-0.0299507,0.604107154233939,-0.0256104,0.016599,-0.0464839,-7.25165
0.14,-0.0292162,0.606099188864069,-0.0239244,0.0349452,-0.0410932,-7.30899
0.141,-0.0277092,0.607955320841135,-0.0229354,0.0272335,-0.0482256,-7.33755
0.142,-0.0262627,0.609477691312162,-0.0197855,0.0240794,-0.045603,-7.37825
0.143,-0.0252122,0.610841381933481,-0.0181528,0.0171422,-0.0513449,-7.42483
0.144,-0.0249128,0.612034984021,-0.0157874,0.00897128,-0.028776,-7.45245
0.145,-0.0220827,0.612987120583046,-0.0139218,0.0279085,-0.0535146,-7.48136
0.146,-0.0202512,0.613904083660425,-0.0112416,0.0224426,-0.046889,-7.48904
0.147,-0.017988,0.614574249288384,-0.00941118,0.0268602,-0.0531489,-7.55546
0.148,-0.0161266,0.614927420146544,-0.00843585,0.0294613,-0.048968,-7.57889
0.149,-0.0142129,0.615057272478872,-0.0070272,0.0194824,-0.0495337,-7.63216
0.15,-0.0121377,0.61497714016779,-0.00529738,0.031693,-0.0451588,-7.65591
0.151,-0.00943485,0.614709866398477,-0.00275093,0.01889,-0.0375418,-7.68421
0.152,-0.00736319,0.614270604714026,-0.00168374,0.0323421,-0.0536221,-7.719
0.153,-0.00330612,0.613577012752895,-0.000445349,0.0165783,-0.0662904,-7.74803
0.154,-0.0016724,0.612734514221751,0.00270118,0.0265642,-0.0535555,-7.76131
0.155,0.00103674,0.611653263976942,0.00410437,0.0211551,-0.0453809,-7.79745
0.156,0.00334558,0.610410057175398,0.00511015,0.0372847,-0.0490105,-7.8209
0.157,0.00634553,0.608966910486963,0.00701174,0.0109809,-0.052123,-7.86221
0.158,0.00910835,0.607274302524021,0.00849233,0.0310591,-0.049239,-7.91698
0.159,0.0117673,0.605608386806856,0.010363,0.0296899,-0.0505162,-7.92881
0.16,0.0142915,0.603787682787421,0.0122829,0.0313767,-0.0482534,-7.96456
0.161,0.0163174,0.601883156480807,0.0145991,0.0192121,-0.0421764,-8.01635
0.162,0.0194705,0.599761655991188,0.0156148,0.0463439,-0.0553481,-8.04646
0.163,0.021889,0.597502893171898,0.0167219,0.0202835,-0.0560136,-8.07257
0.164,0.0249068,0.595185475985877,0.0187756,0.0016984,-0.0689447,-8.12453
0.165,0.0272934,0.592775631487447,0.020868,0.0126238,-0.081105,-8.12211
0.166,0.0305483,0.590250344654033,0.0226828,0.0411116,-0.0456307,-8.17941
0.167,0.0329563,0.587672992477307,0.0243169,0.032086,-0.0626342,-8.21988
0.168,0.0351343,0.584866482840537,0.02633,0.0192151,-0.0475414,-8.24635
0.169,0.0386891,0.581883513219702,0.0278009,0.0401086,-0.0469199,-8.30359
0.17,0.04027,0.578662811158742,0.0289768,0.043235,-0.0466811,-8.34856
0.171,0.0435136,0.575198714457028,0.0305401,0.0223664,-0.0422142,-8.40901
0.172,0.045847,0.571504624943991,0.0319188,0.0413442,-0.0380998,-8.42264
0.173,0.046603,0.567716421080158,0.0341109,0.0129644,-0.0507455,-8.48729
0.174,0.0491197,0.563670789258696,0.0360802,0.0234968,-0.0518749,-8.53464
0.175,0.0508777,0.559350054860096,0.0377999,0.03408,-0.0380564,-8.55728
0.176,0.0524447,0.554732295957754,0.0391933,0.0484521,-0.0507322,-8.63199
0.177,0.0544139,0.549873409640517,0.0395958,0.0291631,-0.0671053,-8.65347
0.178,0.0559834,0.54474276965114,0.0424636,0.0259779,-0.043936,-8.71419
0.179,0.0573254,0.539402371738658,0.0445026,0.033167,-0.0370008,-8.75043
0.18,0.0590572,0.53381161871174,0.0456058,0.0339299,-0.0713111,-8.77046
0.181,0.0595457,0.527854023478882,0.0463308,0.00819913,-0.0566351,-8.81849
0.182,0.0606733,0.521599514821349,0.0485569,0.0213426,-0.0456879,-8.87585
0.183,0.0615283,0.51521054324204,0.0503172,0.0360982,-0.0433704,-8.88532
0.184,0.0624907,0.508766066922147,0.0526803,0.0264285,-0.0476469,-8.89847
0.185,0.0626958,0.502106553368428,0.0553799,0.0243444,-0.0543963,-8.92964
0.186,0.0638499,0.49531494277898,0.0571995,0.0261628,-0.0481401,-8.95544
0.187,0.0642302,0.488185585706068,0.0593532,0.0251076,-0.0635927,-8.98259
0.188,0.0661356,0.480908114282361,0.0609138,0.0392285,-0.0585436,-9.04696
0.189,0.0679616,0.473310299517875,0.0624982,0.0278624,-0.0649682,-9.06224
