TIME,WBE_1,WBE_2,WBE_3,FSP_X,FSP_Y,FSP_Z
0.995,-0.0011424,-0.563920645786774,0.0194964,-0.841832,0.492726,-9.58993
1,-0.016193,-0.550842215664313,0.000978002,-0.186215,0.211738,-11.5536
1.005,-0.00732896,-0.537252170395157,0.00340279,-0.224807,-1.58098,-11.045
1.01,-0.0170842,-0.534359178247302,-0.00914871,-0.625535,1.4388,-10.8881
1.015,0.00218118,-0.531755566588152,-0.00543848,0.245196,0.159475,-8.17018
1.02,-0.00451281,-0.490372796859142,0.000334758,-1.00171,0.283337,-9.86581
1.025,0.0118973,-0.461839055599111,0.00595332,-0.30016,1.59753,-10.8244
1.03,0.00276736,-0.43811619899509,0.00288607,-0.375815,0.20711,-10.1567
1.035,-0.00426527,-0.469218137211792,-0.0100593,0.403077,-0.19346,-9.88199
1.04,-0.0186133,-0.426224226916125,-0.0268204,-0.456381,1.2498,-10.629
1.045,-0.0236389,-0.398859676997197,-0.00803921,0.0294247,0.952142,-10.9661
1.05,-0.000441305,-0.343942112338912,0.0152756,-1.31509,0.717395,-9.70544
1.055,-0.0173425,-0.344245265385948,2.19626e-05,-0.11754,-1.24561,-11.5628
1.06,0.00291955,-0.300426682392207,0.0262253,1.08719,-2.02236,-9.68814
1.065,-0.0153355,-0.292611137671858,-0.0168828,0.473612,1.86892,-11.0186
1.07,-0.00218306,-0.248721910996966,-0.0281614,1.72304,-0.31841,-11.1018
1.075,0.00130351,-0.23932703825099,-0.00459039,-1.17851,0.504221,-10.2935
1.08,-0.00823103,-0.22896519840407,-0.0063603,-0.796719,-0.358899,-10.1291
1.085,-0.018325,-0.167389755318764,-0.00881259,-1.27617,0.770959,-10.0956
1.09,-0.0329039,-0.126662937184566,-0.00645503,0.430971,-0.490133,-8.39988
1.095,-0.0518979,-0.125233629074475,-0.00554054,2.10043,-1.3276,-8.87084
1.1,-0.0453259,-0.0492996331003126,-0.00633482,0.463552,0.318473,-9.7042
1.105,-0.0209537,-0.0108441820363872,-0.00867772,0.866254,0.0578714,-11.5821
1.11,-0.0269464,-0.0390563716371653,-0.00788981,-0.417226,0.0342497,-10.2922
1.115,-0.0266648,-0.0063820968377765,-0.0221247,-0.453882,-0.539178,-9.47262
1.12,-0.0281225,0.0639366049111665,-0.0249722,-1.23788,0.442029,-11.3215
1.125,-0.0483142,0.0322278487489454,0.00102459,0.542369,0.552107,-10.2508
1.13,-0.0299934,0.102643367636138,0.00547839,0.838647,0.201504,-9.71766
1.135,-0.0354437,0.111531610847573,-0.0179706,-0.702283,-1.04172,-10.0155
1.14,-0.0235769,0.14171531475607,0.00499118,0.978974,-0.635739,-11.4485
1.145,-0.0263349,0.181997390270716,-0.00907662,-0.574048,-0.103874,-10.3949
1.15,-0.032275,0.202166381212404,-0.00336648,0.223098,0.513257,-9.97788
1.155,-0.00826743,0.228119486379794,-0.0122831,-0.0551353,0.689046,-9.16038
1.16,-0.0124919,0.2319821192916,0.00655158,0.867287,-0.263973,-10.7885
1.165,-0.0155996,0.261049731214385,-0.0102978,0.705169,0.465793,-12.6367
1.17,-0.0217507,0.277079663551884,-0.00650194,0.591537,-0.0381854,-9.25591
1.175,-0.00908393,0.291028832894231,-0.00297975,-0.243163,1.02082,-11.1865
1.18,-0.0363365,0.335095091591123,-0.00584081,0.565398,-0.260388,-9.74908
1.185,-0.0286043,0.339509835899309,-0.0106895,0.650924,0.114528,-11.876
1.19,-0.00978072,0.356898968307111,0.00360515,0.41732,-1.21179,-12.1803
1.195,-0.0298784,0.374536603829407,-0.019245,0.676395,0.836659,-10.0746
1.2,-0.0429536,0.417533536365063,-0.0126073,-0.209233,0.222989,-12.4746
1.205,-0.0325008,0.391599311203048,-0.0116725,0.841644,0.286409,-9.93406
1.21,-0.0191923,0.39356162370014,0.0152235,3.54514,-0.116999,-10.5961
1.215,-0.0362931,0.407711038952289,-0.0235358,0.17904,-1.71519,-10.2959
1.22,-0.0348629,0.394951470587626,-0.00618989,0.0998434,0.125691,-10.3485
1.225,-0.0282343,0.399164544632472,-0.0139286,-1.09519,0.384083,-10.576
1.23,-0.0344191,0.403048304557069,-0.015102,-1.07336,-2.86731,-11.0378
1.235,-0.048799,0.413568051475744,-0.0282056,-0.59546,-0.419646,-11.9406
1.24,-0.0520288,0.437439166206313,0.0078773,-0.043835,-0.473755,-10.5495
1.245,-0.052316,0.413309160284035,-0.0190179,1.41885,0.111539,-9.21445
1.25,-0.0449245,0.425248253827425,-0.0288428,1.34558,1.11762,-12.1281
1.255,-0.0340618,0.426159464973784,-0.00504976,0.6096,0.337217,-10.2855
1.26,-0.0593867,0.412868046892312,-0.00521862,-0.94843,-0.743116,-11.8813
1.265,-0.0513316,0.404897569000484,-0.0156845,2.02657,-1.15216,-10.8377
1.27,-0.0571168,0.409698631903797,-0.018082,0.546757,0.499699,-10.291
1.275,-0.0395263,0.390354464162206,0.0108156,-0.275886,0.732161,-8.93645
1.28,-0.0307733,0.369758922884599,-0.0147547,-0.368256,0.338726,-9.6083
1.285,-0.0390811,0.359855512084928,0.0115692,-0.442707,1.37867,-9.12718
1.29,-0.0361513,0.353482378712193,-0.0033886,-0.0897212,0.365584,-10.8814
1.295,0.00147387,0.349251172106191,0.00594786,0.78062,-0.724252,-10.9474
1.3,0.000143282,0.353669568452541,-0.0063226,-0.387174,-0.47796,-9.60938
1.305,-0.00115398,0.311394784247808,0.00388314,-0.074002,1.36354,-9.96769
1.31,0.0157735,0.330880034785846,0.00355993,2.1748,0.113297,-11.9429
1.315,-0.00764855,0.329981830044233,-0.0175469,0.416112,0.336551,-10.336
1.32,-0.0102518,0.314554001733435,-0.0238619,-0.47035,1.00644,-9.56508
1.325,-0.0131014,0.246708797165852,-0.014242,1.62724,-0.402048,-10.7601
1.33,-0.00719284,0.253649922884599,0.00372107,0.684691,-1.17403,-11.1043
1.335,-0.0263183,0.250123368776827,0.00796448,0.943934,0.75374,-9.50724
1.34,-0.0162226,0.270133972563157,-0.0159504,1.39753,1.97882,-11.1412
1.345,-0.00464698,0.221036438939539,-0.00718382,-1.66374,-0.156603,-9.42146
1.35,0.00216107,0.184717623217673,0.00698606,-0.0817412,1.72148,-9.68489
1.355,0.00733177,0.18038657860674,0.002097,-0.425873,-0.620473,-11.6313
1.36,0.00306392,0.170016399723615,-0.00957431,-0.895174,-0.812096,-9.95306
1.365,-0.00240639,0.163693077444512,-0.00973709,1.31384,-1.09671,-9.67937
1.37,0.00800883,0.153506757424387,-0.013526,1.48893,-0.781154,-9.91853
1.375,0.00362171,0.126738674715818,-0.0148272,0.769187,0.501724,-9.32561
1.38,-0.00624522,0.142289967364578,-0.0140351,-0.735172,0.341392,-9.42979
1.385,-0.0192997,0.130813127012791,0.0105133,0.191726,-0.874562,-8.52372
1.39,0.00194801,0.0982349953042211,-0.0144289,1.06961,0.0577789,-10.2777
1.395,-0.0162596,0.104833338884917,0.00234053,0.685109,-0.0511141,-10.2219
1.4,-0.0387783,0.0835726887574936,-0.000560529,0.034423,-0.563275,-9.23557
1.405,-0.00638442,0.0352941967533432,0.0130377,-0.260854,-1.2229,-9.19914
1.41,0.00183503,0.0449574155764354,0.017707,0.639185,-0.561971,-9.66546
1.415,0.023677,0.0630690753261395,0.00618656,-0.646481,0.19627,-9.82309
1.42,0.0208574,0.0191395863641136,-0.00105563,0.0794833,-0.786433,-9.79519
1.425,0.0257245,0.0315271681582355,-0.00559944,-1.61695,2.13971,-8.45801
1.43,0.011313,0.00871927380119934,0.00664219,-2.24957,-0.024008,-9.68579
1.435,0.0317141,-0.00354720623114331,-0.0212575,-0.483725,-0.815034,-12.4989
1.44,0.0243548,0.015520799103026,-0.000528309,0.200761,-0.666816,-10.4875
1.445,0.00293075,0.0133824440037673,0.00172384,-0.36729,-1.22976,-11.3399
1.45,0.0277145,0.00264447299563584,0.00359191,-0.461899,0.513258,-11.6917
1.455,0.0219666,-0.0366266351037569,-0.0170385,0.226744,-0.83234,-11.2666
1.46,0.011481,-0.0052767830325091,-0.0193226,-1.35967,1.38724,-11.4893
1.465,0.0222286,-0.00875795201524537,0.00910924,-1.41815,-0.489474,-11.9255
1.47,0.0146698,-0.0424500037639295,-0.010333,0.547224,1.13025,-10.1696
1.475,0.00675287,-0.023064225079822,0.0114241,-0.185213,-1.17936,-9.91283
1.48,0.0203542,-0.00280153721247887,-0.0104541,0.585881,-0.0466646,-9.5379
1.485,-0.00152342,-0.0526339594423034,-0.0099156,-0.00828276,-0.134339,-11.1744
1.49,-0.00176661,-0.0285791149709395,-0.00053819,0.193874,-0.651347,-9.6647
1.495,0.0356951,-0.0617586434885101,-0.00551583,0.151811,-0.224912,-8.90534
1.5,0.0071287,-0.0851171343517987,0.00638647,0.0935602,0.153394,-10.7272
1.505,0.0132825,-0.0740987808905308,0.00226949,0.0288365,-0.998839,-11.7095
1.51,0.0307988,-0.0537885792670298,-0.0109792,1.36943,0.333807,-9.67692
1.515,0.0249839,-0.0684802174675331,-0.011552,-0.269661,-0.635579,-9.46089
1.52,0.0138401,-0.055067781991071,0.00217262,0.931269,-1.13733,-10.7044
1.525,0.0217711,-0.0704666783374205,-0.00481413,0.708508,-1.43285,-9.91263
1.53,0.00852381,-0.059266855910992,-0.0107107,-0.340723,-1.82173,-11.5294
1.535,0.00149551,-0.0467713871495007,0.0011527,0.267197,1.73206,-10.3081
1.54,0.00681742,-0.0567190591767743,-0.000829413,0.221564,0.0333111,-11.1032
1.545,0.00570354,-0.0610719295173098,0.00119138,1.40529,0.62539,-9.51962
1.55,0.026912,-0.0625733139122709,-0.00329954,1.2241,0.309196,-9.03614
1.555,0.0234846,-0.0267362670259889,0.0134646,-1.49453,1.08268,-8.70933
1.56,0.0413098,-0.0218664819138756,-0.00864911,-1.36865,-1.7429,-10.1486
1.565,0.0171541,-0.0440523871870646,0.0223056,-0.655208,-1.23684,-11.1749
1.57,0.0159883,-0.0402451662106211,0.0151772,1.2877,0.791676,-9.67838
1.575,0.0211618,-0.00345023478033034,0.0048922,1.06615,1.3661,-9.54611
1.58,0.0266987,-0.0389856407798044,0.00177278,0.978226,0.14911,-9.56745
1.585,0.0258747,-0.0129906337411323,-0.0182355,1.71896,-0.88194,-10.219
1.59,0.0192172,-0.000406577179792424,0.00304599,-0.450077,1.73659,-10.0885
1.595,0.0137972,-0.0293697452147069,-0.0237997,0.29738,1.68176,-10.1837
1.6,0.00737807,-0.0218516694704762,-0.00987934,-1.37033,0.137415,-7.5655
1.605,-0.00538966,-0.026161003403515,-0.0120062,0.0894267,0.302127,-9.93252
1.61,0.0191504,0.0252407076681188,0.00862977,-1.2865,-0.455973,-11.6825
1.615,0.0315008,0.00597071404451774,-0.0182281,0.226077,-0.0704706,-9.67258
1.62,0.0123168,-0.000302414089921987,-0.0106827,-1.02657,0.00158073,-10.2683
1.625,0.0113409,0.0627502780002116,-0.000387141,-0.939448,0.699282,-10.0015
1.63,0.0140587,0.0334144394702519,-0.0129581,-0.951817,0.582906,-9.82219
1.635,0.0202502,0.0456895745188692,-0.0164105,-1.26297,0.342607,-9.80835
1.64,0.0152921,0.0263241280780076,-0.00985151,2.22325,-1.82398,-11.4522
1.645,0.0143793,0.0398935418365781,-0.0323458,0.187087,-1.02953,-10.5932
