TIME,TRUTH_N
1.449,10.0727
1.45,10.0729
1.451,10.0731
1.452,10.0733
1.453,10.0735
1.454,10.0737
1.455,10.0739
1.456,10.0742
1.457,10.0744
1.458,10.0746
1.459,10.0748
1.46,10.075
1.461,10.0752
1.462,10.0754
1.463,10.0756
1.464,10.0758
1.465,10.076
1.466,10.0763
1.467,10.0765
1.468,10.0767
1.469,10.0769
1.47,10.0771
1.471,10.0773
1.472,10.0775
1.473,10.0777
1.474,10.0779
1.475,10.0781
1.476,10.0783
1.477,10.0786
1.478,10.0788
1.479,10.079
1.48,10.0792
1.481,10.0794
1.482,10.0796
1.483,10.0798
1.484,10.08
1.485,10.0802
1.486,10.0804
1.487,10.0806
1.488,10.0808
1.489,10.081
1.49,10.0813
1.491,10.0815
1.492,10.0817
1.493,10.0819
1.494,10.0821
1.495,10.0823
1.496,10.0825
1.497,10.0827
1.498,10.0829
1.499,10.0831
1.5,10.0833
1.501,10.0835
1.502,10.0837
1.503,10.0839
1.504,10.0842
1.505,10.0844
1.506,10.0846
1.507,10.0848
1.508,10.085
1.509,10.0852
1.51,10.0854
1.511,10.0856
1.512,10.0858
1.513,10.086
1.514,10.0862
1.515,10.0864
1.516,10.0866
1.517,10.0868
1.518,10.087
1.519,10.0872
1.52,10.0875
1.521,10.0877
1.522,10.0879
1.523,10.0881
1.524,10.0883
1.525,10.0885
1.526,10.0887
1.527,10.0889
1.528,10.0891
1.529,10.0893
1.53,10.0895
1.531,10.0897
1.532,10.0899
1.533,10.0901
1.534,10.0903
1.535,10.0905
1.536,10.0907
1.537,10.0909
1.538,10.0912
1.539,10.0914
1.54,10.0916
1.541,10.0918
1.542,10.092
1.543,10.0922
1.544,10.0924
1.545,10.0926
1.546,10.0928
1.547,10.093
1.548,10.0932
1.549,10.0934
1.55,10.0936
1.551,10.0938
1.552,10.094
1.553,10.0942
1.554,10.0944
1.555,10.0946
1.556,10.0948
1.557,10.0951
1.558,10.0953
1.559,10.0955
1.56,10.0957
1.561,10.0959
1.562,10.0961
1.563,10.0963
1.564,10.0965
1.565,10.0967
1.566,10.0969
1.567,10.0971
1.568,10.0973
1.569,10.0975
1.57,10.0977
1.571,10.0979
1.572,10.0981
1.573,10.0983
1.574,10.0985
1.575,10.0988
1.576,10.099
1.577,10.0992
1.578,10.0994
1.579,10.0996
1.58,10.0998
1.581,10.1
1.582,10.1002
1.583,10.1004
1.584,10.1006
1.585,10.1008
1.586,10.101
1.587,10.1012
1.588,10.1014
1.589,10.1016
1.59,10.1018
1.591,10.102
1.592,10.1022
1.593,10.1025
1.594,10.1027
1.595,10.1029
1.596,10.1031
1.597,10.1033
1.598,10.1035
1.599,10.1037
1.6,10.1039
1.601,10.1041
1.602,10.1043
1.603,10.1045
