TIME,FSP_X
0.617,0.0766835
0.618,0.0770284
0.619,0.0770812
0.62,0.0771146
0.621,0.0771881
0.622,0.0772996
0.623,0.0773857
0.624,0.0773863
0.625,0.0773862
0.626,0.0773407
0.627,0.0772964
0.628,0.0772878
0.629,0.0775601
0.63,0.0778078
0.631,0.0777359
0.632,0.0777544
0.633,0.0776812
0.634,0.077482
0.635,0.0773327
0.636,0.0773032
0.637,0.0773308
0.638,0.077317
0.639,0.0775345
0.64,0.0777474
0.641,0.0776177
0.642,0.077497
0.643,0.0774634
0.644,0.0773747
0.645,0.0773304
0.646,0.0772159
0.647,0.077065
0.648,0.0770258
0.649,0.0769253
0.65,0.0768387
0.651,0.0767433
0.652,0.0766163
0.653,0.0766026
0.654,0.0766566
0.655,0.0766487
0.656,0.076607
0.657,0.0768383
0.658,0.0770691
0.659,0.076996
0.66,0.0768601
0.661,0.0767255
0.662,0.0770913
0.663,0.0775303
0.664,0.0775198
0.665,0.077404
0.666,0.0772858
0.667,0.0772185
0.668,0.0771862
0.669,0.0775865
0.67,0.0780122
0.671,0.0779528
0.672,0.0778377
0.673,0.0777532
0.674,0.0776437
0.675,0.0775745
0.676,0.0775238
0.677,0.0774652
0.678,0.0777723
0.679,0.0781086
0.68,0.078071
0.681,0.0779369
0.682,0.0777927
0.683,0.0777
0.684,0.0775008
0.685,0.0773094
0.686,0.0772129
0.687,0.0770638
0.688,0.0768604
0.689,0.0767199
0.69,0.076704
0.691,0.0767082
0.692,0.0766742
0.693,0.0765873
0.694,0.0764933
0.695,0.076778
0.696,0.0770926
0.697,0.0769639
0.698,0.0768413
0.699,0.0773281
0.7,0.0778212
0.701,0.0778804
0.702,0.0778428
0.703,0.0781683
0.704,0.0785836
0.705,0.0785072
0.706,0.0784689
0.707,0.0784872
0.708,0.0784217
0.709,0.0783655
0.71,0.0783063
0.711,0.0782776
0.712,0.0786293
0.713,0.0789471
0.714,0.0789257
0.715,0.0793841
0.716,0.0798153
0.717,0.0797544
0.718,0.0796503
0.719,0.0798406
0.72,0.0800994
0.721,0.0800741
0.722,0.0800322
0.723,0.0797506
0.724,0.0797654
0.725,0.0800072
0.726,0.0799472
0.727,0.079779
0.728,0.0796134
0.729,0.0795215
0.73,0.0794323
0.731,0.0794012
0.732,0.0793361
0.733,0.0792629
0.734,0.0791717
0.735,0.0791109
0.736,0.078884
